Name,Status,Batch,Team_size,Website
Momentus,Public,S18,125,https://momentus.space
Honeylove,Active,S18,100,https://www.honeylove.com
Kunduz,Active,S18,85,https://kunduz.com/
Aesthetic,Active,S18,4,https://www.aesthetic.com
Kinside,Active,S18,18,https://www.kinside.com
OkCredit,Active,S18,70,https://www.okcredit.in
Gerostate Alpha,Active,S18,6,http://www.gerostatealpha.com
Culdesac,Active,S18,32,http://culdesac.com
Circumvent,Active,S18,6,https://www.circumventpharmaceuticals.com/
Rejuvenation Technologies Inc,Active,S18,2,https://www.rejuvenationtech.com/
Dorian therapeutics,Active,S18,8,http://www.doriantherapeutics.com
iLabService,Active,S18,50,https://www.ilabservice.com/
LemonBox,Active,S18,50,http://www.getlemonbox.com/
Enveritas,Active,S18,60,http://www.enveritas.org
Spate,Active,S18,15,https://www.spate.nyc
Oxygen,Active,S18,68,http://getoxygen.com
Mark Cuban Cost Plus Drug Company,Active,S18,0,http://www.costplusdrugs.com
AnnieCannons,Active,S18,14,https://www.anniecannons.com
Leena AI,Active,S18,500,https://www.leena.ai
Synkrino Biotherapeutics,Active,S18,2,http://www.synkrino.bio
Mutiny,Active,S18,81,https://www.mutinyhq.com
Cowrywise,Active,S18,40,https://cowrywise.com
Helicarrier (prev Buycoins),Active,S18,30,https://helicarrier.studio
Kobo360,Active,S18,204,http://www.kobo360.com
Khatabook,Active,S18,350,https://khatabook.com/
BrainHi,Active,S18,18,https://www.brainhi.com
Four Growers,Active,S18,14,https://fourgrowers.com/
SkydropX,Active,S18,320,http://skydropx.com
Eden,Active,S18,55,https://edenmed.com
Shelf Engine,Active,S18,40,http://www.shelfengine.com
Nestor,Active,S18,20,https://nestorup.com
ZiffyHomes,Active,S18,57,https://www.ziffyhomes.com
Bot MD,Active,S18,15,https://www.botmd.io
Fintual,Active,S18,150,https://fintual.com
Names & Faces,Active,S18,20,http://www.namesandfaces.com
Tenderd,Active,S18,60,https://www.tenderd.com/
Calii,Active,S18,750,https://calii.com
