Name,Status,Batch,Team_size,Website,Founders
WePay,Acquired,S09,400,http://wepay.com,Rich Aberman (https://www.linkedin.com/in/richaberman/ https://twitter.com/richaberman); Bill Clerico (https://www.linkedin.com/in/billclerico )
Mixpanel,Active,S09,410,http://mixpanel.com,Tim Trefren (https://linkedin.com/in/timtrefren https://twitter.com/ttrefren); Suhail Doshi (https://www.linkedin.com/in/suhaildoshi/ )
Stripe,Active,S09,7000,http://stripe.com,John Collison (https://www.linkedin.com/in/johnbcollison/ https://twitter.com/collision); Patrick Collison (https://www.linkedin.com/in/patrickcollison/ https://twitter.com/patrickc)
Lingt,Active,S09,2,https://www.lingt.com/,Justin Cannon ( )
RentHop,,S09,9,http://renthop.com,Lee C. Lin ( ); Lawrence Zhou (https://www.linkedin.com/in/lawrence-zhou-93523521 )
Olark,Active,S09,28,http://olark.com,Ben Congleton (https://www.linkedin.com/in/bencongleton https://twitter.com/olark); Matt Pizzimenti (https://www.linkedin.com/in/mjpizz )
Directed Edge,Active,S09,2,http://directededge.com,Scott Wheeler (none none)
Listia,Active,S09,6,http://listia.com,Gee-Hwan Chuang (https://linkedin.com/in/geechuang )
Flightcaster,Acquired,S09,2,,Bradford Cross (https://www.linkedin.com/in/bradfordcross/ https://twitter.com/bradfordcross); Jason Freedman (https://www.linkedin.com/in/jasonfreedman/ https://twitter.com/jasonfreedman); Evan Konwiser (https://www.linkedin.com/in/evankonwiser/ ); James Bracy ( ); Jonathan Bracy ( )
GraffitiGeo,Acquired,S09,2,http://graffitigeo.com,Nikhil Pandit (https://www.linkedin.com/in/nikhil-pandit-b0a6441/ )
Lockitron,Acquired,S09,11,http://lockitron.com,Paul Gerhardt (https://www.linkedin.com/in/paul-gerhardt-7aaa67296/ ); Cameron Robertson (https://www.linkedin.com/in/ccrobertson https://twitter.com/ccamrobertson); Robert Witoff (https://www.linkedin.com/in/rwitoff )
RethinkDB,Acquired,S09,11,http://rethinkdb.com,Michael Glukhovsky (https://www.linkedin.com/in/mglukhovsky ); Slava Akhmechet (https://www.linkedin.com/in/coffeemug/ )
Bump,Acquired,S09,30,http://bumptechnologies.com,David Lieb (https://www.linkedin.com/in/davidlieb/ http://twitter.com/dflieb); Andy Huibers (https://www.linkedin.com/in/andyhuibers )
DailyBooth,Acquired,S09,2,http://dailybooth.com,Ryan Amos (https://www.linkedin.com/in/rmamos ); Jon Wheatley ( )
Instantq,Inactive,S09,2,http://instantq.com,Dana Levine (https://Linkedin.com/in/danaalevine ); Jeffery Xin Shi (https://www.linkedin.com/in/shijeff )
Wakemate,Inactive,S09,2,http://wakemate.com,Arun Gupta (https://www.linkedin.com/in/arungupta3/ ); Benjamin Anderson ( )
Stackq,Inactive,S09,0,http://stackq.com,Will Liu ( )
AdThrow,Inactive,S09,0,http://adthrow.com,Andrew Levy (https://www.linkedin.com/in/andrewmlevy/ https://twitter.com/andrewmlevy); Daniel Kluesing (https://www.linkedin.com/in/kluesing/ ); Evan Rosenfeld (http://linkedin.com/in/evanrosenfeld )
RoboHR,Inactive,S09,0,http://robohr.com,Jingsong Wang (https://www.linkedin.com/in/jingsong-wang-a125845/ ); Henry Liu (https://www.linkedin.com/in/henryliuhenryliu/ )
NudgePad,Inactive,S09,2,http://azure.com,
Plurchase,Inactive,S09,2,http://plurchase.com,Jeff Ferber (https://www.linkedin.com/in/ferbs ); Dean Mao (https://www.linkedin.com/in/deanmao ); Tom Saffell ( )
Fanchatter,Inactive,S09,11,http://fanchatter.com,Luke Francl (https://www.linkedin.com/in/lukefrancl/ https://twitter.com/lof); Marty Wetherall (https://www.linkedin.com/in/martywetherall ); Todd Emmel ( )
SSovereign,Inactive,S09,2,https://ssovereign.com/,Colin Beattie (https://www.linkedin.com/in/cbeattie/ ); Manvir Kenth (https://www.linkedin.com/in/manvirkenth/ )
CarWoo,inactive,S09,11,http://carwoo.com,Michael Young (https://www.linkedin.com/in/michael-lawrence-young/ ); Erik Landerholm (https://www.linkedin.com/in/elanderholm/ ); Tommy McClung (https://www.linkedin.com/in/tmcclung/ )
Jobspice,Inactive,S09,11,http://jobspice.com,Dane Hurtubise (https://www.linkedin.com/in/hurtubise/ http://twitter.com/imdane); Andrew McCollum (https://www.linkedin.com/in/andrew-mccollum-4800bb1b2 )
HighlightCam,inactive,S09,11,http://highlightcam.com,Michael James O'Kelly (https://www.linkedin.com/in/mjtokelly ); Michael Katsevman (https://www.linkedin.com/in/mkatsevman/ )
