Name,Status,Batch,Team_size,Website,Founders
Heap,Acquired,W13,388,https://heap.io/,Matin Movassate (https://www.linkedin.com/in/matin-movassate-29494723 )
Fivetran,Activesaasb2banalyticsdata-engineering,W13,1200,http://fivetran.com,Taylor Brown (https://www.linkedin.com/in/taylorwcbrown ); George Fraser (https://www.linkedin.com/in/george-fraser-a0219230 )
Zenefits,Acquired,W13,500,http://zenefits.com,Laks Srini (http://www.linkedin.com/in/lakssrini )
Wearable computing hardware: biosignal gesture recognition,Acquired,W13,51,https://www.bynorth.com,Stephen Lake (https://www.linkedin.com/in/slake ); Matthew Bailey, Founder ( ); Aaron Grant, Founder ( )
Watsi,Active,W13,11,https://watsi.org,Chase Adam (https://www.linkedin.com/in/chaseadam17 ); Grace Garey (https://www.linkedin.com/in/gracegarey )
Goldbelly,Activated,W13,125,https://www.goldbelly.com/,Joe Ariel (https://www.linkedin.com/in/joeariel https://www.twitter.com/jgillman); Joel Gillman (https://www.linkedin.com/in/joelgillman/ https://www.twitter.com/jgillman); Trevor Stow (https://www.linkedin.com/in/trevor-stow-6984394 https://www.twitter.com/jgillman); Vanessa Torrivilla (https://www.linkedin.com/in/vanessatorrivilla https://www.twitter.com/jgillman)
Wevorce,Active,W13,11,http://wevorce.com,Michelle Crosby (https://www.linkedin.com/in/michelle-crosby-93508a6 )
Wefunder,Active,W13,35,http://wefunder.com,Nick Tommarello (https://www.linkedin.com/in/nicktommarello/ https://twitter.com/nicktommarello); Greg Belote (https://www.linkedin.com/in/gregbelote/ https://www.facebook.com/wefunder)
SimplyInsured,Active,W13,35,http://simplyinsured.com,Vivek Shah (https://www.linkedin.com/in/vivekajayshah )
Experiment,Active,W13,1,http://experiment.com,Denny Luan (https://www.linkedin.com/in/denny-luan-8189b726/ https://twitter.com/lets_experiment)
RADAR,Active,W13,46,https://goradar.com,Spencer Hewett ( )
Lollipuff,Founded,W13,11,http://lollipuff.com,Fei Deyle (https://www.linkedin.com/in/fei-deyle-14152910 )
Strikingly,Active,W13,99,https://www.strikingly.com,Teng Bao (https://www.linkedin.com/in/tengbao ); Dafeng Guo (https://linkedin.com/in/dfguo ); David Haisha Chen (https://www.linkedin.com/in/haishachen )
InfluxData,Active,W13,210,https://influxdata.com,Paul Dix (https://www.linkedin.com/in/pauldix/ https://twitter.com/pauldix); Todd Persen (https://www.linkedin.com/in/toddpersen https://twitter.com/toddpersen)
Etleap,,W13,11,https://etleap.com,Christian Romming (https://www.linkedin.com/in/cromming )
Cheetah,Active,W13,2,http://gocheetah.com,Na'ama Moran (https://www.linkedin.com/in/naamamoran/ )
Lawdingo,Active,W13,0,http://lawdingo.com,Nikhil Nirmel (https://www.linkedin.com/in/nikhilnirmel )
Padlet,Active,W13,40,https://padlet.com,Nitesh Goel (https://www.linkedin.com/in/doodlebug )
BuildZoom,Founded,W13,100,https://www.buildzoom.com,David Petersen (https://www.linkedin.com/in/davidcpetersen ); Jiyan Wei (https://www.linkedin.com/in/jiyanwei )
Scuba,Active,W13,51,https://www.scuba.io,Lior Abraham (https://www.linkedin.com/in/liorabraham )
