Name,Status,Batch,Team_size,Website,Founders
Apto Payments,Acquired,S14,32,https://www.aptopayments.com/,Greg Kidd (https://www.linkedin.com/in/gregkidd/ ); Meg Nakamura (https://www.linkedin.com/in/megnakamura )
Product Hunt,Active,S14,18,http://producthunt.com,Ryan Hoover (https://www.linkedin.com/in/ryanrhoover http://twitter.com/rrhoover)
Replenish,Acquired,S14,11,http://www.getreplenish.com,Elise Polezel (https://www.linkedin.com/in/elisepolezel/ ); Matthew Udomphol (https://www.linkedin.com/in/udomphol/ )
ListRunner,Acquired,S14,2,http://listrunnerapp.com,Jeeshan Chowdhury (https://www.linkedin.com/in/jeeshanchowdhury https://twitter.com/phzbox); Dominic Savoie (https://www.linkedin.com/in/dominique-couture-savoie-3063bb23/ ); Trevor Chan (https://www.linkedin.com/in/trevor-chan-66a7561 )
Lawn Love,Acquired,S14,150,https://lawnlove.com,Jeremy Yamaguchi (https://www.linkedin.com/in/jeremyyamaguchi/ https://twitter.com/jeremyyamaguchi)
Kash,Acquired,S14,11,http://withkash.com,Geoff Flarity ( )
Impraise,Acquired,S14,35,http://impraise.com,Bas Kohnke (https://www.linkedin.com/in/baskohnke/ https://twitter.com/impraise); Filipe Dobreira (https://www.linkedin.com/in/filipe-dobreira/ https://twitter.com/impraise)
Hublo,Acquired,S14,2,http://hublo.com,Cyril Gantzer (https://www.linkedin.com/in/cyrilgantzer ); Léo-Paul Goffic (https://www.linkedin.com/in/leogoffic ); Etienne Le Scaon (https://www.linkedin.com/in/lescaon/ )
Blockspring,,S14,3,http://blockspring.com,Don Pinkus (https://www.linkedin.com/in/don-pinkus-9140702a ); Jason Tokoph (https://www.linkedin.com/in/jasontokoph )
GovPredict,Acquired,S14,60,http://govpredict.com,Emil Pitkin (https://www.linkedin.com/in/emilpitkin https://twitter.com/GovPredict)
PersistIQ,Acquired,S14,10,http://www.persistiq.com,Pouyan Salehi (https://www.linkedin.com/in/pouyansalehi/ https://twitter.com/psalehi); Cyrus Karbassiyoon (https://www.linkedin.com/in/ckarbass/ )
Craft Coffee,Acquired,S14,0,https://www.craftcoffee.com,Michael Horn (https://www.linkedin.com/in/michaeldhorn/ https://twitter.com/mikehorn)
Clara Labs,Acquired,S14,20,http://claralabs.com,Michael Akilian (https://www.linkedin.com/in/akilian ); Maran Nelson (https://www.linkedin.com/in/marannelson )
Carlypso,Acquired,S14,11,http://carlypso.com,Christopher Coleman (https://www.linkedin.com/in/christopher-coleman-a316696 ); Nicholas Hinrichsen (https://www.linkedin.com/in/nicholas-hinrichsen )
Bitaccess,Acquired,S14,55,http://bitaccess.com,Moe Adham (https://www.linkedin.com/in/moeadham/ https://twitter.com/moeadham)
Parenthoods,Acquired,S14,2,http://parenthoods.co,Siobhan Quinn (https://www.linkedin.com/in/siobhanquinn ); Jeni Diaz Axline (https://www.linkedin.com/in/jenidiaz )
Zip Phone,Acquired,S14,1,http://zipphone.com,Anuj Jain (https://www.linkedin.com/in/anujjain1981/ )
Zenamins,Inactive,S14,2,http://zenamins.com,Arad Rostampour (https://www.linkedin.com/in/aradr )
Beep,inactive,S14,2,http://www.beepnetworks.com,Daniel Conrad (https://www.linkedin.com/in/dconrad ); Shawn Lewis (https://www.linkedin.com/in/shawn-lewis-524a563/ )
Zoomer,Inactive,S14,51,http://www.zoomerdelivery.com,Vasanth Elavarasan ( ); Justin Goldman (https://www.linkedin.com/in/goldmanjustin/ ); Robert Shedd (http://linkedin.com/in/shedd https://twitter.com/shedd)
Zen99,Active,S14,0,http://tryzen99.com,Yan Lhert (https://www.linkedin.com/in/yantherailsguy/ ); Tristan Zier (https://www.linkedin.com/in/tristanzier https://twitter.com/tmzier)
Whirl,,S14,2,http://getwhirl.com,Steve Sobel (https://www.linkedin.com/in/stephen-sobel-1015a525 )
Weave,Inactive,S14,11,http://weave.in,Brian Ma ( https://www.linkedin.com/in/zealoustiger)
Tinker,Inactive,S14,0,http://www.tinkercorp.com,Gareth MacLeod (https://www.linkedin.com/in/garethmacleod/ ); Trevor Creech (https://www.linkedin.com/in/trevorcreech ); Ross Robinson (https://www.linkedin.com/in/ross-robinson-aa6a1613/ )
Think Gaming,,,1,http://thinkgaming.com,Michael Hoydich (https://www.linkedin.com/in/mhoydich/ https://www.twitter.com/mhoydich); Tim Ogilvie (https://www.linkedin.com/in/timogilvie )
Paid,Active,S14,2,http://paidlabs.com,Ryan Jackson (https://www.linkedin.com/in/ryanwjackson )
HauteDay,Active,S14,2,http://hauteday.com,Michael Witz (https://www.linkedin.com/in/michaelwitz/ https://www.twitter.com/realwitz); Dan Lin ( )
SalesSift,Inactive,S14,2,https://salessift.com,Chris Ashby (https://www.linkedin.com/in/chrisashby https://twitter.com/chrisashby); Fraser Atkins (https://www.linkedin.com/in/fraseratkins https://twitter.com/fraseratkins)
Shout,Real-time classifieds exchange platform,S14,2,http://useshout.com,Zachariah Reitano (https://www.linkedin.com/in/zachariah-reitano-457b0a37?trk=nav_responsive_tab_profile ); Henri Stern (https://www.linkedin.com/in/henri-stern/ )
Roost,Inactive,S14,2,http://goroost.com,Tim Varner (https://www.linkedin.com/in/timvarner )
Cheddar,Active,S14,2,http://cheddar.io,Brian Brunner (https://www.linkedin.com/in/bbrunner ); Alex Fryer (https://www.linkedin.com/in/alexjfryer )
In Your Corner,New York,S14,2,http://inyourcorneronline.com,Bea Arthur (https://www.linkedin.com/in/beaarthur/ ); Anthony Garcia ( )
Nightingale,,S14,2,http://nightingaleapp.com,Delian Asparouhov (https://www.linkedin.com/in/delian-asparouhov-87447742/ )
