Name,Status,Batch,Team_size,Website,Founders
A complete DevOps platform delivered as a single application,Active,W15,2000,http://gitlab.com,Sid Sijbrandij (http://nl.linkedin.com/in/sijbrandij https://twitter.com/sijbrandij); Dmytro Zaporozhets (https://www.linkedin.com/in/dzaporozhets https://twitter.com/dzaporozhets)
Notable Labs,Public,W15,40,http://notablelabs.com,Matthew De Silva (https://www.linkedin.com/in/matthewdesilva/ https://twitter.com/MDe_Silva); Pete Quinzio (https://www.linkedin.com/in/peter-quinzio-26083a35 https://www.twitter.com/notablelabs)
Lucira Health,Active,W15,43,https://www.lucirahealth.com/,Debkishore Mitra (http://www.linkedin.com/in/debkishoremitra )
EquipmentShare,Active,W15,5400,https://www.equipmentshare.com,Brad Siegler (https://www.linkedin.com/in/bradsiegler ); Jeff Lowe (https://www.linkedin.com/in/lowejeffrey ); Jabbok Schlacks (https://www.linkedin.com/in/jabbok-schlacks-319a378a ); William Schlacks (https://www.linkedin.com/in/william-schlacks-49796016 )
GrubMarket,Active,W15,4548,http://grubmarket.com,Mike Xu (https://www.linkedin.com/pub/mike-minyi-xu/1/837/510/ )
