Name,Status,Batch,Team_size,Website,Founders
Poll Everywhere,Active,S08,70,https://www.polleverywhere.com,Sean Eby (Not Found Not Found); Brad Gessler (https://www.linkedin.com/in/bradgessler/ https://twitter.com/bradgessler); Jeff Vyduna (https://www.linkedin.com/in/jeffvyduna/ Not Found)
BackType,Acquired,S08,0,http://backtype.com,Christopher Golda (https://www.linkedin.com/in/christophergolda/ https://twitter.com/golda); Michael Montano (https://www.linkedin.com/in/mikemontano https://twitter.com/michaelmontano)
JustSpotted,Acquired,S08,2,http://justspotted.com,AJ Asver ( ); Dilan Jarawardane (https://www.linkedin.com/in/dilandane/ https://twitter.com/dilan); Benjamin Tauber ( )
Cloudant,Acquired,S08,51,http://cloudant.com,Michael Miller (https://www.linkedin.com/in/mlmilleratmit ); Alan Hoffman (https://www.linkedin.com/in/alanmhoffman ); Adam Kocoloski (https://www.linkedin.com/in/kocolosk )
Posterous,Dead,S08,11,http://posterous.com,Sachin Agarwal (https://www.linkedin.com/in/a4agarwal/ http://twitter.com/agarwal); Brett Gibson (https://www.linkedin.com/in/brettdgibson/ https://twitter.com/brettdg); Garry Tan (https://www.linkedin.com/in/garrytan/ https://twitter.com/garrytan)
Slinkset,inactive,S08,2,http://slinkset.com,Brett Gibson (https://www.linkedin.com/in/brettdgibson/ https://twitter.com/brettdg); John Baunach (https://linkedin.com/in/jbaunach )
Treehouse,Inactive,S08,101,http://gotreehouse.com,Daniel Rhodes (https://linkedin.com/in/danielrhodes https://twitter.com/danielrhodes)
PlayReader,Inactive,S08,0,http://playreader.com,Joel Hoard ( )
People and Pages,Inactive,S08,0,http://peopleandpages.com,Adam Shaw (https://www.linkedin.com/in/adam-shaw-94760a53 ); Michael Smathers ( )
Popcuts,inactive,S08,2,http://popcuts.com,Kevin Mateo Lim (https://www.linkedin.com/in/kevin-mateo-lim )
Snipd,Inactive,S08,2,http://snipd.com,Founder name (Founder linkedin url Founder twitter url)
Ticket Stumbler,Inactive,S08,2,http://ticketstumbler.com,Tom Davis (https://www.linkedin.com/in/tdavis ); Dan Haubert ( )
Claimspotting,Inactive,S08,0,http://urbantakeover.at,Constantin Hofstetter (https://www.linkedin.com/in/constantin-hofstetter https://twitter.com/consti); Florian Hufsky (https://linkedin.com/in/oneup ); Flo Lauber ( ); Leo Sierek ( )
Team Apart,Inactive,S08,2,http://teamapart.com,Wes Hather (https://www.linkedin.com/in/whather/ https://twitter.com/whather); Gordon Hempton (https://www.linkedin.com/in/ghempton/ https://twitter.com/ghempton); Michael Hoisie (https://www.linkedin.com/in/hoisie )
Youlicit,Inactive,S08,2,http://youlicit.com,Nihaar Gupta (https://linkedin.com/in/nihaargupta ); Omar Radi (https://www.linkedin.com/in/omar-radi-464a314b ); Asif Rahman (https://www.linkedin.com/in/asif-rahman-a135103 )
Precognate,Inactive,S08,0,http://precognate.com,Mike Marrone ( ); Michael Parkatti (https://linkedin.com/in/mparkatti )
Picwing,Inactive,S08,11,http://picwing.com,Enrique Rodriguez (https://www.linkedin.com/in/enriquerodriguezchamussy/ https://twitter.com/echamussy); Edward Kim (https://www.linkedin.com/in/edawerd/ https://twitter.com/edawerd)
CO2Stats,Inactive,S08,0,http://co2stats.com,Alexander Wissner-Gross (https://www.linkedin.com/in/alexwg/ https://twitter.com/alexwg)
Anyvite,Inactive,S08,2,http://anyvite.com,Dan Morin (https://www.linkedin.com/in/danielmorin ); Jeff Morin (https://www.linkedin.com/in/jeffmorin )
Frogmetrics,Inactive,S08,2,http://frogmetrics.com,Jeremy Mims (https://www.linkedin.com/in/jeremymims ); D. Scott Phoenix (https://www.linkedin.com/in/dscottphoenix )
Job Alchemist,Inactive,S08,0,http://jobalchemist.com,Luke Groesbeck (https://www.linkedin.com/in/lukegroesbeck https://twitter.com/newgroesbeck); Loc Ngo (https://www.linkedin.com/in/locngo ); Ben Wong (https://www.linkedin.com/in/benwong0 )
OhLife,Inactive,S08,2,http://ohlife.com,Shawn Gupta ( )
