Name,Status,Batch,Team_size,Website
Airbnb,actively operating,W09,6132,http://airbnb.com
Volantio,Active,W09,19,http://www.volantio.com
Wattvision,Active,W09,0,http://www.wattvision.com
Cloudkick,Acquired,W09,11,http://cloudkick.com
Echodio,Acquired,W09,2,http://echodio.com
reMail,Acquired,W09,1,http://remail.com
Divvyshot,Acquired,W09,2,http://divvyshot.com
Heyzap,Acquired,W09,11,http://heyzap.com
PetaSales,Inactive,W09,2,http://PetaSales
Voxli,Inactive,W09,2,http://voxli.com
Nambii,Inactive,W09,0,http://nambii.com
Picurio,Inactive,W09,2,http://picurio.com
Spaces Life,Inactive,W09,0,http://spaceslife.com
Foodoro,Inactive,W09,11,http://foodoro.com
Skysheet,Inactive,W09,2,http://skysheet.com
Recurious,Inactive,W09,0,http://thesixtyone.com
