Name,Status,Batch,Team_size,Website,Founders
Twitch,Acquired,W07,2000,http://twitch.com,Emmett Shear (https://www.linkedin.com/in/emmettshear https://twitter.com/eshear)
Weebly,Acquired,W07,201,http://weebly.com,David Rusenko (https://www.linkedin.com/in/drusenko http://twitter.com/drusenko); Chris Fanini (https://www.linkedin.com/in/chrisfanini/ )
Buxfer,Active,W07,1,https://www.buxfer.com,Shashank Pandit (https://www.linkedin.com/in/shashankpandit/ https://twitter.com/buxfer); Amit Manjhi (https://www.linkedin.com/in/amitmanjhi/ https://twitter.com/amitmanjhi)
Virtualmin,Active,W07,2,http://virtualmin.com,Jamie Cameron (https://www.linkedin.com/in/jamiecameron2 ); Joe Cooper (https://www.linkedin.com/in/roboucher )
Heysan,Acquired,W07,0,http://heysan.com,Gustaf Alstromer (https://www.linkedin.com/in/gustafalstromer/ https://twitter.com/gustaf); Pär Lindhe (https://www.linkedin.com/in/parlindhe ); Marie Brattberg (https://www.linkedin.com/in/mariebrattberg/ ); Michael Ossareh (https://www.linkedin.com/in/ossareh/ )
Auctomatic,Acquired,W07,2,http://auctomatic.com,Harj Taggar (https://linkedin.com/in/harjtaggar http://twitter.com/harjtaggar); Patrick Collison (https://www.linkedin.com/in/patrickcollison/ https://twitter.com/patrickc); Kulveer Taggar (https://www.linkedin.com/in/kulveer/ )
Zenter,Acquired by Google in June 2007,W07,2,https://googleblog.blogspot.com/2007/06/more-sharing.html,Wayne Crosby (https://www.linkedin.com/in/wcrosby/ https://twitter.com/wcrosby); Robby Walker (https://www.linkedin.com/in/robbywalker )
Octopart,Acquired,W07,11,http://octopart.com,Andres Morey (https://www.linkedin.com/in/andres-morey-7227203 ); Sam Wurzel (https://www.linkedin.com/in/sam-wurzel/ )
Socialmoth,Inactive,W07,2,http://socialmoth.com,Paul McKellar ( )
View3,Inactive,W07,0,http://view3.com,Jeff Michels (https://www.linkedin.com/in/jeffmichels ); Ashutosh Saxena (https://www.linkedin.com/in/saxenaashutosh )
Whitenoise,Inactive,W07,2,http://whitenoisenetworks.com,
WriteWith,Inactive,W07,2,http://writewith.com,Phil Kast (https://www.linkedin.com/in/phillip-kast-2821833/ )
Tsumobi,Inactive,W07,2,http://tsumobi.com,Adam Bouhenguel (https://www.linkedin.com/in/adam-bouhenguel-a587951 https://twitter.com/ajbouh); Joshua Wilson (https://www.linkedin.com/in/makanikai/ )
