Name,Status,Batch,Team_size,Website,Founders
Segment,Acquired,S11,550,http://segment.com,Calvin French-Owen (https://www.linkedin.com/in/calvinfo https://twitter.com/calvinfo); Ilya Volodarsky (https://www.linkedin.com/in/ilyavolodarsky )
Codecademy,Acquired,S11,225,http://codecademy.com,Zach Sims (https://www.linkedin.com/in/zacharysims https://twitter.com/codecademy)
GoCardless,Active,S11,900,http://gocardless.com,Matt Robinson (https://www.linkedin.com/in/mattjackrobinson/ https://twitter.com/mattjackrob); Tom Blomfield (https://www.linkedin.com/in/tomblomfield https://twitter.com/t_blom); Hiroki Takeuchi (https://www.linkedin.com/in/hirokitakeuchi/ )
Clerky,Active,S11,15,https://www.clerky.com,Chris Field (https://www.linkedin.com/in/fieldchris ); Darby Wong (https://www.linkedin.com/in/darbywong/ https://twitter.com/darbyw)
AgileMD,Active,S11,15,https://agilemd.com,Borna Safabakhsh (https://www.linkedin.com/in/bornas/ https://twitter.com/agilemd)
Quartzy,Active,S11,100,https://www.quartzy.com,Adam Regelmann (https://www.linkedin.com/in/adam-r-7189a67/ )
Science Exchange,Active,S11,50,https://www.scienceexchange.com/,Elizabeth Iorns (https://www.linkedin.com/in/elizabethiorns/ ); Dan Knox (https://www.linkedin.com/in/djkn0x/ )
Streak,Active,S11,35,http://streak.com,Aleem Mawani (https://www.linkedin.com/in/aleemmawani/ )
OneSignal,Active,S11,150,https://onesignal.com,George Deglin (https://www.linkedin.com/in/gdeglin https://twitter.com/gdeglin); Long Vo (https://www.linkedin.com/in/longvo/ https://twitter.com/vostalgic)
HackerRank,Active,S11,300,http://hackerrank.com,Vivek Ravisankar (https://www.linkedin.com/in/vivekravisankar ); Harishankaran ( )
Apollo,Active,S11,200,http://apollographql.com/,matt debergalis (https://linkedin.com/debergalis https://twitter.com/debergalis); Nick Martin ( ); Geoff Schmidt (https://www.linkedin.com/in/gschmidt/ http://twitter.com/GeoffQL)
Vidyard,Active,S11,201,http://vidyard.com,Michael Litt (https://www.linkedin.com/in/michaellitt/ https://twitter.com/michaellitt); Devon Galloway ( )
imgix,Active,S11,65,https://www.imgix.com,Chris Zacharias (https://www.linkedin.com/in/czacharias/ https://www.twitter.com/zacman85)
Videopixie,Active,S11,11,http://videopixie.com,Tom Saffell (https://www.linkedin.com/company/videopixie/ https://twitter.com/ycombinator)
MixRank,Active,S11,31,https://mixrank.com,Scott Milliken (https://www.linkedin.com/in/scottamilliken )
LeadGenius,Active,S11,50,http://leadgenius.com,Prayag Narula (https://linkedin.com/in/prayagnarula/ https://twitter.com/prayagn/)
Sift,Active,S11,0,https://sift.com/,Jason Tan (http://www.linkedin.com/in/jas0ntan https://twitter.com/jasontan)
Pagelever,Acquired,S11,11,http://pagelever.com,David Turner (https://linkedin.com/in/wdavidturner https://twitter.com/wdavidturner); Jeff Widman (https://linkedin.com/in/jeffwidman )
Firebase,Acquired,S11,500,http://firebase.com,Andrew Lee (https://www.linkedin.com/in/startupandrew/ https://twitter.com/startupandrew); James Tamplin (https://linkedin.com/in/jamest https://twitter.com/jamestamplin)
Realm,Acquired,S11,51,http://realm.io,Bjarne Christiansen (https://www.linkedin.com/in/bjchrist https://twitter.com/bjarnec); Alexander Stigsen (https://www.linkedin.com/in/astigsen/ )
Citus Data,Acquired,S11,45,http://citusdata.com,Sumedh Pathak (https://www.linkedin.com/in/sumedh-pathak/ )
Cryptoseal,Acquired,S11,3,http://cryptoseal.com,Ryan Lackey (https://www.linkedin.com/in/ryanlackey https://twitter.com/octal); Thomas Sparks (https://www.linkedin.com/in/tom-sparks-46562/ ); Erik Berls (https://www.linkedin.com/in/berls )
Debteye,Acquired,S11,2,http://debteye.com,Paul Zhang (https://www.linkedin.com/in/zhangyipeng/ ); John Sun (https://www.linkedin.com/in/avantjohnsun/ ); Kevin Yu (https://www.linkedin.com/in/kevinyu1029 )
Aisle50,Acquired,S11,11,http://aisle50.com,George Korsnick (https://www.linkedin.com/in/georgekorsnick ); Riley Scott ( ); Christopher Steiner (https://www.linkedin.com/in/steinerchristopher )
Genius,Acquired,S11,101,https://genius.com,Ilan Zechory (https://www.linkedin.com/in/ilan-zechory-18a13510a ); Tom Lehman (https://linkedin.com/in/lehmant )
Stypi,Acquired,S11,2,https://stypi.com,Byron Milligan (https://www.linkedin.com/in/byron-milligan ); Jason Chen (https://www.linkedin.com/in/jhchen/ https://twitter.com/jhchen)
Clutch,Acquired,S11,2,http://clutch.io,Eric Florenzano (https://www.linkedin.com/pub/eric-florenzano/9/348/795 )
Freshplum,Acquired,S11,8,http://freshplum.com,Sam Odio (https://linkedin.com/in/samodio https://twitter.com/sodio); Nick Alexander (https://www.linkedin.com/in/ndalexander/ )
Hungry Labs,Acquired,S11,2,http://hungrylabs.com,Kevin Lacker (https://www.linkedin.com/in/kevinlacker/ )
Automatic,Acquired,S11,51,http://automatic.com,Jerry J (https://www.linkedin.com/in/cwaderoberts )
Parse,Acquired,S11,11,http://parse.com,Kevin Lacker (https://www.linkedin.com/in/kevinlacker/ )
Perfect Audience,Acquired,S11,11,http://perfectaudience.com,Kurt Mackey ( ); Jordi Buller (https://www.linkedin.com/in/jordibuller/ ); Brad Flora (https://www.linkedin.com/in/bradflora https://twitter.com/bradflora)
TapEngage,Acquired,S11,2,http://tapengage.com,Matt Holden (https://www.linkedin.com/in/mattholden1/ https://twitter.com/holdenmatt); Sean Lynch (https://www.linkedin.com/in/seanplynch/ )
GlassMap,Acquired,S11,11,http://ansibletechnologies.com,Geoffrey Woo (https://www.linkedin.com/in/geoffreywoo ); Jono Chang ( ); Jon Zhang (https://www.linkedin.com/in/jrzhang )
Compose,Acquired,S11,51,http://mongohq.com,Jason McCay (https://www.linkedin.com/in/jasonmccay/ https://twitter.com/jasonmccay); Ben Wyrosdick (https://www.linkedin.com/in/bwyrosdick/ )
Launchpad Toys,Acquired,S11,2,http://launchpadtoys.com,Thushan Amarasiriwardena (https://linkedin.com/in/thushan ); Andy Russell (https://linkedin.com/in/aar366 )
Caviar,Acquired,S11,51,http://trycaviar.com,Jason Wang (https://www.linkedin.com/in/jwang815/ https://twitter.com/jwang815); Richard Din (http://linkedin.com/in/rdin86 ); Tony (Shi) Li (https://www.linkedin.com/in/tonyshili/ ); Andy Zhang (https://www.linkedin.com/in/andyczhang/ )
Embark,Acquired,S11,2,https://letsembark.com,Taylor Malloy (https://www.linkedin.com/in/cameron-sabol-018ab045 )
Verbling,Acquired,S11,2,http://verbling.com,Mikael Bernstein (https://www.linkedin.com/in/mikaelbernstein/ https://twitter.com/verbling)
Fobo,Acquired,S11,2,http://fobo.net,Ryan Mickle (https://linkedin.com/in/mickle ); Ed McManus (https://www.linkedin.com/in/emcmanus )
Zenbox,inactive,S11,2,http://zenboxapp.com,Kev Zettler (https://www.linkedin.com/in/kev-zettler-10b34316/ https://twitter.com/kevzettler)
Dubjoy,Inactive,S11,2,http://dubjoy.com,Robert Farazin (https://www.linkedin.com/in/robertfarazin/ ); Rok Gregorič (http://linkedin.com/in/rokgregoric https://twitter.com/rokgregoric); Miha Rebernik (https://www.linkedin.com/in/miharebernik https://twitter.com/mihar)
Quad,Inactive,S11,12,http://thequad.com,Sagar Shah (https://www.linkedin.com/in/sagarshah1 )
PhoneSys,Inactive,S11,4,http://pingm.net,David Dolphin (https://www.linkedin.com/in/david-dolphin/ https://twitter.com/ddol); Patrick O'Doherty (https://www.linkedin.com/in/podoherty )
Proxino,Inactive,S11,0,http://proxino.com,Muzzammil (MZ) Zaveri (https://www.linkedin.com/in/mzaveri/ https://twitter.com/mzaveri); Ethan Fast (https://www.linkedin.com/in/ethanfast/ https://twitter.com/unignorant)
PayDragon,Inactive,S11,11,http://paperlinks.com,Hamilton Chan ( )
Zigfu,Inactive,S11,2,http://breaks.nu,Ted Blackman (https://www.linkedin.com/profile/view?id=3396588 ); Amir Hirsch ( ); Roee Shenberg (https://www.linkedin.com/in/shlomozippel ); Shlomo Zippel ( )
Picplum,Inactive,S11,2,https://picplum.com,Akshay Dodeja (https://www.linkedin.com/in/dodeja https://twitter.com/dodeja); Paul Stamatiou (https://www.linkedin.com/in/pauls/ https://twitter.com/stammy)
Zeus,Inactive,S11,200,https://zeusliving.com/,Srini Panguluri (https://www.linkedin.com/in/srinipanguluri ); Kulveer Taggar (https://www.linkedin.com/in/kulveer/ ); Joe Wong (https://www.linkedin.com/in/joewong2 )
Draft,Inactive,S11,1,http://draftin.com,Nathan Kontny (https://linkedin.com/in/nathankontny http://twitter.com/natekontny)
Rentobo,inactive,S11,11,http://rentobo.com,Nikhil Abraham (https://www.linkedin.com/in/nikhilabraham ); Shaun Davis (https://www.linkedin.com/in/davissp14/ https://twitter.com/davissp14); Matt Kopko (https://www.linkedin.com/in/matthew-kopko ); James Shkolnik (https://www.linkedin.com/in/jshkol )
Snapjoy,Inactive,S11,11,http://snapjoy.com,Michael Dwan ( https://twitter.com/michaeldwan); JP Ren (https://www.linkedin.com/in/jpren/ )
Ridejoy,Inactive,S11,11,http://ridejoy.com,Jason Shen (https://www.linkedin.com/in/jasonshen/ http://www.twitter.com/jasonshen); Randy Pang (https://www.linkedin.com/in/randypang ); Kalvin Wang (https://www.linkedin.com/in/kalvinwang )
Leaky,Inactive,S11,2,http://leaky.com,Darren Nix (http://www.linkedin.com/in/darrensnix ); Jason Traff (https://www.linkedin.com/in/jasontraff/ https://twitter.com/jasontraff)
Vapor,Inactive,S11,2,http://askolo.com,Yin Wu (https://www.linkedin.com/in/ywu01/ ); Xuwen Cao (https://www.linkedin.com/in/xuwen-cao-a4471416/ ); John Hiesey ( ); Shazad Mohamed (https://www.linkedin.com/in/shazadmohamed/ )
Kicksend,Acquired by Lyft,S11,11,http://kicksend.com,Pradeep Elankumaran (https://linkedin.com/in/pradeepelankumaran https://www.twitter.com/pradeep24); Brendan Lim (https://linkedin.com/in/brendanlim https://twitter.com/ok)
Opez,inactive,S11,11,http://opez.com,Paul Chou (https://linkedin.com/in/plchou )
Everyme,Inactive,S11,2,http://everyme.com,Oliver Cameron (https://www.linkedin.com/in/olivercameron https://twitter.com/olivercameron); Vibhu Norby (https://www.linkedin.com/in/vibhunorby https://twitter.com/vibhu)
Interstate,Inactive,S11,2,http://interstateapp.com,Greg Cooper ( ); Simon Fletcher (https://www.linkedin.com/in/simonandrewfletcher/ https://twitter.com/_simonfletcher)
MarketBrief,Inactive,S11,2,http://marketbrief.com,Chris Auer ( )
