Name,Status,Batch,Team_size,Website,Founders
Amplitude,,W12,750,https://amplitude.com,Curtis Liu ( ); Spenser Skates ( )
Matterport,,,0,http://matterport.com,David Gausebeck (https://www.linkedin.com/in/david-gausebeck-ab23015 )
PlanGrid,,W12,355,http://plangrid.com,Ralph Gootee (https://www.linkedin.com/in/ralphleon/ ); Ryan Sutton-Gee (https://www.linkedin.com/in/rsuttong ); Tracy Young (https://www.linkedin.com/in/tracy-young-0a17441 )
Sendwave,,W12,350,https://www.sendwave.com,Drew Durbin (https://www.linkedin.com/in/drew-durbin-52517614/ https://twitter.com/drewdurbin/); Lincoln Quirk (https://www.linkedin.com/in/lincolnquirk )
Gusto,,W12,2400,https://gusto.com,Edward Kim (https://www.linkedin.com/in/edawerd/ https://twitter.com/edawerd); Tomer London (https://www.linkedin.com/in/tomerlondon/ https://twitter.com/tomerlondon); Josh Reeves (https://www.linkedin.com/in/joshuareeves/ https://twitter.com/joshuareeves)
Wave,Active,W12,1600,https://wave.com,Drew Durbin (https://www.linkedin.com/in/drew-durbin-52517614/ https://twitter.com/drewdurbin/); Lincoln Quirk (https://www.linkedin.com/in/lincolnquirk )
Medmonk,Active,W12,2,http://medmonk.com,Abbas Mehdi ( ); Somaira Punjwani ( )
Per Vices,Active,W12,11,https://www.pervices.com,Victor Wollesen ( ); Brandon Malatest ( )
CircuitHub,,W12,58,https://circuithub.com,Andrew Seddon (https://www.linkedin.com/in/seddonandrew/ )
Screenleap,Active,W12,4,https://screenleap.com,Tuyen Truong (https://www.linkedin.com/in/tuyentruong/ https://twitter.com/tuyentruong); Lawrence Gentilello (https://www.linkedin.com/in/gentilello https://twitter.com/gentilello)
CleverDeck,,W12,1,http://cleverdeck.com,Justin Cannon ( )
Shoptiques,,W12,51,http://shoptiques.com,Olga Vidisheva (https://www.linkedin.com/in/olga-vidisheva/ ); Peter Delahunty (https://www.linkedin.com/in/peterdelahunty/ ); Dan Morin (https://www.linkedin.com/in/danielmorin ); Jeff Morin (https://www.linkedin.com/in/jeffmorin )
Rescale,,,250,https://rescale.com,Joris Poort (https://www.linkedin.com/in/gpoort/ https://twitter.com/jorispoort); Adam McKenzie (https://www.linkedin.com/in/adammckenzie )
Medigram,Active,W12,11,http://medigram.com,Michael Chiu (https://www.linkedin.com/in/komarneni ); Yuhao Ding (https://www.linkedin.com/in/yuhaoding ); Stephen Oakley ( )
Ridecell,,,211,https://www.ridecell.com,Aarjav Trivedi (https://www.linkedin.com/in/aarjav https://twitter.com/aarjav)
HireArt,,W12,90,http://hireart.com,Nicholas Sedlet (https://www.linkedin.com/in/nick-sedlet https://twitter.com/hireart)
,,W12,60,http://themuse.com,Alex Cavoulacos (https://www.linkedin.com/in/acavoulacos/ https://twitter.com/acav); Kathryn Minshew (https://www.linkedin.com/in/kathryn-minshew/ https://twitter.com/kmin); Melissa Quino McCreery ( )
42Floors,,W12,60,http://42floors.com,Jason Freedman (https://www.linkedin.com/in/jasonfreedman/ https://twitter.com/jasonfreedman); James Bracy (https://www.linkedin.com/in/waratuman/ ); Jonathan Bracy (https://www.linkedin.com/in/jonbracy/ )
Shopular,,W12,11,http://shopular.com, ( )
Socialcam,,W12,0,http://www.socialcam.com,Guillaume Luccisano (https://www.linkedin.com/in/guillaumeluccisano/ https://twitter.com/luckwi); Michael Seibel (https://linkedin.com/in/mwseibel https://twitter.com/mwseibel); Ammon Bartram (https://www.linkedin.com/in/ammon-bartram-2aaa6712 )
iCracked,Acquired,W12,51,http://icracked.com,Tony Martin (https://linkedin.com/in/anthonyjohnmartin )
Priceonomics,,W12,2,http://priceonomics.com,Rohin Dhar (https://www.linkedin.com/in/rohindhar/ )
YourMechanic,,W12,115,http://yourmechanic.com,Art Agrawal (https://www.linkedin.com/in/artagrawal https://twitter.com/yourmechanic)
Loom,,W12,2,http://loom.com,Jan Senderek ( ); Nicolas Bös ( ); Daniel Wagner (https://www.linkedin.com/in/danieltwagner ); Philipp Wein (https://www.linkedin.com/in/philippwein/ )
Fond,Acquired,W12,51,http://fond.co,Taro Fukuyama (https://www.linkedin.com/in/tarof/ https://twitter.com/taro_f); Sunny Tsang (https://www.linkedin.com/in/sunnyxtsang/ https://twitter.com/SunnyTsang)
Flutter,Acquired,W12,2,http://flutterapp.com,Mehul Nariyawala (https://www.linkedin.com/in/mehulnariyawala/ ); Navneet Dalal ( )
Authy,,W12,201,http://authy.com,Gleb Chuvpilo (http://www.linkedin.com/in/chuvpilo https://twitter.com/chuvpilo); Daniel Palacio (https://www.linkedin.com/in/danielpalacio )
FarmLogs,Active,W12,5,http://farmlogs.com,Brad Koch ( )
Swiftype,,W12,50,http://swiftype.com,Matt Riley (https://www.linkedin.com/in/matthewriley/ http://twitter.com/matthewriley); Quin Hoxie (https://www.linkedin.com/in/qhoxie )
Tilt,,W12,51,http://tilt.com,Khaled Hussein (https://www.linkedin.com/in/dsogkhaled/ ); James Beshara (https://www.linkedin.com/in/jjbeshara/ )
,,W12,11,http://iamexec.com/,Justin Kan (https://www.linkedin.com/in/justinkan ); Amir Ghazvinian (https://www.linkedin.com/pub/amir-ghazvinian/86/143/286 ); Daniel Kan (https://www.linkedin.com/in/danielkan )
Chute,,W12,11,http://getchute.com,Ranvir Gujral ( ); Gaurav Sharma ( )
FamilyLeaf,,W12,2,http://familyleaf.com,Ajay Mehta (https://www.linkedin.com/in/ajayumehta https://twitter.com/ajaymehta); Brandon Paton (https://www.linkedin.com/in/bpaton https://twitter.com/bpaton); Wesley Zhao (https://www.linkedin.com/in/wesleyzhao ); Henry Liu (https://linkedin.com/in/liuhenry/ https://twitter.com/liuhenry)
SlidePay,,W12,2,https://angel.co/slidepay,Joel Christner (https://www.linkedin.com/in/joelchristner/ ); Charlie Pinto (https://www.linkedin.com/in/charlespinto https://www.twitter.com/charliepinto); Christopher Morton (https://linkedin.com/in/mortonch )
HackPad,,W12,2,http://hackpad.com,Igor Kofman (https://www.linkedin.com/in/ikofman/ )
CoderWall,,W12,2,http://assemblymade.com,Matthew Deiters (https://www.linkedin.com/in/matthewdeiters https://www.twitter.com/mdeiters); Dave Newman (https://www.linkedin.com/in/david-newman-3938522 )
