Name,Status,Batch,Team_size,Website,Founders
Go1,Active,S15,650,https://go1.com,Andrew Barnes (https://www.linkedin.com/in/ajbarnes https://twitter.com/go1com); Chris Eigeland (https://au.linkedin.com/in/chriseigeland https://twitter.com/go1com); Chris Hood (http://au.linkedin.com/in/chrish00d https://twitter.com/go1com); Vu Tran (http://www.linkedin.com/profile/view?id=145590347 https://twitter.com/go1com)
OpenInvest,Active,S15,110,http://www.openinvest.com,Conor Murray (https://www.linkedin.com/pub/conor-murray/93/300/b06 ); Phillip Wei ( http://twitter.com/phillipwei)
Scentbird,Active,S15,165,https://www.scentbird.com,Mariya Nurislamova (http://www.linkedin.com/in/mariyanurislamova/ ); Andrei Rebrov (https://www.linkedin.com/in/andrebrov )
Human Interest,Active,S15,765,http://humaninterest.com,Roger Lee (https://www.linkedin.com/in/rogerrlee/ ); Paul Sawaya (https://www.linkedin.com/in/paulsawaya )
Flirtey (SkyDrop),Active,S15,11,https://www.flirtey.com/,Matthew Sweeny (https://www.linkedin.com/in/matthew-sweeny-732b70127/ )
Eight Sleep,Active,S15,100,http://eightsleep.com,Massimo Andreasi Bassi ( ); Matteo Franceschetti (https://www.linkedin.com/in/matteofranceschetti ); Alexandra Zatarain (http://www.linkedin.com/in/alexandrazatarain/ https://twitter.com/a_zatarain)
Instawork,Active,S15,500,http://instawork.com,Sumir Meghani (https://www.linkedin.com/company/10410445/admin/ https://twitter.com/instawork)
Cofactor Genomics,Active,S15,13,http://cofactorgenomics.com,Dave Messina (http://linkedin.com/in/davemessina https://twitter.com/davemessina); Jarret Glasscock (https://www.linkedin.com/in/jarretglasscock https://twitter.com/cofactorgenomic)
Click & Grow,Active,S15,28,https://www.clickandgrow.com/,Mattias Lepp (https://ee.linkedin.com/pub/mattias-lepp/17/ab4/413 )
Bitmovin,Active,S15,145,http://bitmovin.com,Christian Timmerer (https://www.linkedin.com/in/christiantimmerer ); Stefan Lederer (http://at.linkedin.com/pub/stefan-lederer/25/236/2a1 ); Christopher Mueller (https://www.linkedin.com/in/bitmovin-chris/ )
TetraScience,Active,S15,100,https://www.tetrascience.com,Siping Wang (https://www.linkedin.com/pub/siping-wang/47/A32/205 )
The Ticket Fairy,Active,S15,15,https://www.ticketfairy.com/,Ritesh Patel (http://www.linkedin.com/in/riteshdpatel https://twitter.com/ritlocus); Jigar Patel (http://www.linkedin.com/in/desinex https://twitter.com/ticketfairy)
HER,Active,S15,10,http://weareher.com,Robyn Exton (https://www.linkedin.com/in/robynexton https://twitter.com/HerSocialApp)
Font Awesome,Active,S15,17,http://fontawesome.com,Dave Gandy (https://linkedin.com/in/davegandy http://www.twitter.com/davegandy); Travis Chase ( http://www.twitter.com/supercodepoet)
80,000 Hours,Active,S15,13,http://80000hours.org,William MacAskill (http://uk.linkedin.com/in/wdmacaskill ); Benjamin Todd (https://uk.linkedin.com/pub/benjamin-todd/63/66b/b58/ )
Xendit,Active,S15,700,https://www.xendit.co/,Bo Chen (https://www.linkedin.com/in/bochen303 ); Juan Gonzalez (https://www.linkedin.com/in/0505gonzalez ); Moses Lo (http://linkedin.com/in/moseslo )
Shred Video,Active,S15,2,https://shredvideo.com,Mike Allen (www.linkedin.com/pub/michael-allen/7/511/9a1/en https://www.linkedin.com/profile/view?id=18358820); Mark Godfrey (https://www.linkedin.com/profile/view?id=18358820 https://www.linkedin.com/pro)
ShapeScale,Active,S15,7,https://shapescale.com,Martin Kessler (https://www.linkedin.com/in/martinkessler https://twitter.com/kesslerio); Alexandre Wayenberg (https://www.linkedin.com/in/awayenberg )
RedCarpetUp,Active,S15,100,http://redcarpetup.com,Kartik Venkataraman (https://www.linkedin.com/in/kartikvenkataraman1 )
Plate IQ,Active,S15,200,https://plateiq.com,Ram Jayaraman (http://www.linkedin.com/in/ramprabhuj ); Bhavuk Kaul (https://www.linkedin.com/in/bhavukkaul )
PickTrace,Active,S15,65,http://picktrace.com/company,Harrison Steed (http://www.linkedin.com/pub/harrison-steed/ ); Austin Steed (https://www.linkedin.com/in/austinsteed )
Fountain,Active,S15,200,http://fountain.com,Keith Ryu (https://www.linkedin.com/in/kibaekr/ )
MicroHealth,Active,S15,10,http://microhealth.com,Marc Lara (linkedin.com/mlaranyc ); Miguel Lara (http://linkedin.com/in/mlara1/en )
Zeplin,Active,S15,140,https://zeplin.io,Merih Akar (https://www.linkedin.com/in/merihakar/ https://twitter.com/merihakar); Ismail Ceylan (https://www.linkedin.com/in/ceylanismail/ https://twitter.com/ceylanismail); Pelin Kenez (https://www.linkedin.com/in/pelinkenez https://twitter.com/pelinkenez); Berk Çebi (http://tr.linkedin.com/in/berkcebi/ https://twitter.com/berkcebi)
Markhor,Active,S15,5,http://markhor.com,Sidra Qasim (http://linkedin.com/in/sidraqasim https://twitter.com/sidraqasim); Waqas Ali (http://linkedin.com/in/waqasaday http://twitter.com/waqasali)
Circle Medical,Active,S15,153,https://circlemedical.com,JS Boulanger ( ); George Favvas ( ); Brent LaRue ( )
GiveCampus,Active,S15,85,http://go.givecampus.com,Michael Kong (https://www.linkedin.com/pub/michael-kong/10/bb1/353 ); Kestrel Linder (https://www.linkedin.com/pub/kestrel-linder/b3/677/403 )
Drip Capital,Active,S15,280,http://dripcapital.com,Pushkar Mukewar (https://www.linkedin.com/pub/pushkar-mukewar/1/695/31 )
Chaldal,Active,S15,2886,http://chaldal.com,Waseem Alim (https://www.linkedin.com/profile/view?id=38553536 ); Zia Ashraf (https://www.linkedin.com/in/zia-ashraf/ ); Tejas Viswanath (https://www.linkedin.com/in/tejas-viswanath )
Bodyport,Active,S15,19,http://bodyport.com,Corey Centen (http://ca.linkedin.com/in/coreycenten/ http://twitter.com/bodyport); Sarah Smith (https://www.linkedin.com/in/sarahannsmith http://twitter.com/bodyport)
Verge Genomics,Active,S15,50,http://vergegenomics.com,Alice Zhang (https://www.linkedin.com/in/alice-zhang-2087862b/ )
Thrive Agritech,Active,S15,8,http://www.thriveagritech.com,Brian Bennett (https://www.linkedin.com/profile/view?id=33089925&trk=nav_responsive_tab_profile https://twitter.com/thriveagritech)
