Name,Status,Batch,Team_size,Website,Founders
Sqreen,Acquired,W18,120,https://www.sqreen.com/,Pierre Betouin (https://www.linkedin.com/in/pbetouin/ https://twitter.com/pbetouin); Jean-Baptiste Aviat (https://www.linkedin.com/in/jeanbaptisteaviat https://twitter.com/jbaviat)
Bear Flag Robotics,Acquired,W18,10,http://bearflagrobotics.com,Igino Cafiero (https://www.linkedin.com/in/igino-cafiero-43b213b0 ); Aubrey Donnellan (https://www.linkedin.com/in/aubrey-donnellan-0b676b7/ )
Groww,Active,W18,1050,https://groww.in,Ishan Bansal (https://in.linkedin.com/in/ishan-bansal-8678b216 None); Harsh Jain (https://in.linkedin.com/in/harshjainiitd None); Lalit Keshre (https://www.linkedin.com/in/lalitkeshre None); Neeraj Singh (https://www.linkedin.com/in/neeraj-singh-a910819 None)
Newfront,Active,W18,800,https://www.newfront.com/,Spike Lipkin (https://www.linkedin.com/in/spike-lipkin-8173651b/ https://twitter.com/gwintrob); Gordon Wintrob (https://www.linkedin.com/in/gwintrob https://twitter.com/gwintrob)
Snackpass,Active,W18,38,https://snackpass.co,Jamie Marshall (https://www.linkedin.com/in/jamie-marshall-b291a2120/ None); Kevin Tan (http://linked.com/kevinhuangtan None)
Replit,Active,W18,115,https://replit.com,Haya Abdalla (https://www.linkedin.com/in/haya-odeh-b0725928 None); Amjad Masad (https://www.linkedin.com/in/amjadmasad None)
Swayable,Active,W18,30,http://swayable.com,James Slezak (https://www.linkedin.com/in/jslezak http://twitter.com/jslez)
FidoCure,Active,W18,14,https://www.fidocure.com,Christina K. Lopes (https://www.linkedin.com/in/christina-lopes-8679455/ https://twitter.com/fidocure)
Veriff,Active,W18,550,https://veriff.com,Kaarel Kotkas (https://www.linkedin.com/in/kaarelkotkas/ None)
Aerones,Active,W18,25,http://www.aerones.com,Dainis Kruze (https://www.linkedin.com/in/dainis-kruze-63b19013/ None); Janis Putrams (https://www.linkedin.com/in/janis-putrams-2ab19345/ None)
Super,Active,W18,1037,http://superapp.id/,Michael Rendy Tanuwidjaja (https://www.linkedin.com/in/michael-rendy-3641ab67 None); Steven Wongsoredjo (None None)
Helloverify,Active,W18,600,https://www.helloverify.com,Karan Mirchandani (https://www.linkedin.com/in/karan-mirchandani-917a1a84/ None); Varun Mirchandani (https://www.linkedin.com/in/varun-mirchandani-b342a43/ None)
Runa,Active,W18,100,http://runahr.com,Courtney McColgan (https://www.linkedin.com/in/courtney-mccolgan-7976873/ https://twitter.com/runahr)
ErudiFi,Active,W18,180,http://www.erudifi.com,Naga Tan (https://www.linkedin.com/in/nagatan/ None); Susli Lie (https://www.linkedin.com/in/susli/ None)
CaptivateIQ,Active,W18,280,https://www.captivateiq.com,Hubert Wong (https://www.linkedin.com/in/hubertw None); Mark Schopmeyer (https://www.linkedin.com/in/mschop/ None); Conway Teng (https://www.linkedin.com/in/conway-teng/ None)
Vena Medical,Active,W18,7,https://www.venamed.ca/,Phillip Cooper (None None); Michael Phillips (None None)
Mind Emulation Foundation,Active,W18,1,https://mindemulation.org/,Dan Siroker (https://www.linkedin.com/in/dsiroker/ None)
Anjuna,Active,W18,55,https://www.anjuna.io,Ayal Yogev (https://www.linkedin.com/in/ayalyogev/ None)
Tarjimly,Active,W18,4,https://tarjimly.org,Aziz Alghunaim (https://www.linkedin.com/in/azizkag https://twitter.com/azizkag); Atif Javed (https://www.linkedin.com/in/atifmjaved/ null)
Callisto,Active,W18,7,https://www.projectcallisto.org,Jess Ladd (https://www.linkedin.com/in/jessicahladd None); Anjana Rajan (https://www.linkedin.com/in/anjanarajan/ None)
Observe.AI,Active,W18,240,https://observe.ai,Akash Singh (https://www.linkedin.com/in/akash-singh-0b57b916/ None); Swapnil Jain (https://www.linkedin.com/in/swapniljain849/ None); Sharath Keshava Narayana (http://linkedin.com/in/sharathkishan None)
Culture Biosciences,Active,W18,40,https://culturebiosciences.com,Matt Ball (https://www.linkedin.com/in/matt-ball-2357171b/ None); Will Patrick (https://www.linkedin.com/in/wgpatrick None)
ZBiotics,Active,W18,22,https://zbiotics.com/,Zack Abbott (https://www.linkedin.com/in/zaabbott None); Stephen Lamb (https://www.linkedin.com/in/stephen-lamb-295a7819/ None)
Archform,Active,W18,23,http://archform.com,Andrew Martz (https://www.linkedin.com/in/martzandrew None)
OpenSea,Active,W18,250,https://opensea.io,Devin Finzer (https://www.linkedin.com/in/dfinzer/ https://twitter.com/dfinzer); Alex Atallah (https://www.linkedin.com/in/alexatallah https://twitter.com/xanderatallah)
AlgoSurg Inc,Active,W18,8,http://www.algosurg.com,Vikas Karade (https://www.linkedin.com/in/vikaskarade/ None); Amit Maurya (https://www.linkedin.com/in/amitdmaurya/ None)
Memora Health,Active,W18,115,https://memorahealth.com,Manav Sevak (https://www.linkedin.com/in/manavsevak None); Kunaal Naik (https://www.linkedin.com/in/kunaalnaik None); Nisarg Patel (https://www.linkedin.com/in/nisargp None)
OSIMple,Active,W18,2,http://osimple.co,Amanda Chan (https://www.linkedin.com/in/amanda-chan-6427a8120/ None); Mike Miller (https://www.linkedin.com/in/mike-miller-09262979/ None)
YouTeam,Active,W18,34,https://youteam.io,Yura Riphyak (https://www.linkedin.com/in/riphyak/ https://twitter.com/Chumakway)
Orangewood Labs,Active,W18,40,http://www.orangewood.co,Abhinav Das (https://www.linkedin.com/in/abhinavdas1985/ https://twitter.com/Abhindas1); Aditya Bhatia (https://www.linkedin.com/in/aditya-bhatia-0904b086/ https://www.twitter.com/orangewoodlabs); Akash Bansal (https://www.linkedin.com/in/mrakashbansal/ https://www.twitter.com/orangewoodlabs)
Mojo,Active,W18,25,https://mojo-app.com,Jean Patry (https://www.linkedin.com/in/jean-patry-41244348/ https://twitter.com/jean_patry); Francescu Santoni (https://www.linkedin.com/in/francescu/ None)
Aspire,Active,W18,500,https://aspireapp.com,Giovanni Casinelli (https://www.linkedin.com/company/aspire-sea/ https://twitter.com/CasinelliG); Andrea Baronchelli (https://www.linkedin.com/in/andrea-baronchelli-0979a541/ None)
SafetyWing,Active,W18,100,http://www.safetywing.com,Sondre Rasch (https://www.linkedin.com/in/srasch None); Sarah Sandnes (http://www.linkedin.com/in/sarahbeate/ https://twitter.com/sarahbeyahte); Hans Nyvold Kjellby (https://www.linkedin.com/in/hans-nyvold-kjellby-84975162/ None)
Delphia,Active,W18,23,http://delphia.com,Andrew Peek (https://ca.linkedin.com/in/drupeek http://twitter.com/drupeek); Clifton van der Linden (https://www.linkedin.com/in/cliffvanderlinden None)
Pelago,Active,W18,130,https://www.pelagohealth.com,Yusuf Sherwani (https://www.linkedin.com/in/ysherwani/ https://twitter.com/ysherwani); Maroof Ahmed (https://www.linkedin.com/in/maroof-ahmed-b5b8b3100/ None); Sarim Siddiqui (https://www.linkedin.com/in/sarim-siddiqui-64b4b8103/ None)
